aaaaaa 	 16	95	351	1003	2503	5811	12910
aaaaab 	 17	105	386	1078	2633	6021	13240
aaaaba 	 18	117	424	1144	2731	6168	13452
aaaabb 	 17	109	404	1120	2708	6139	13408
aaabaa 	 18	120	436	1167	2769	6220	13520
aaabab 	 19	128	456	1196	2804	6270	13588
aaabba 	 18	121	445	1195	2816	6296	13628
aaabbb 	 17	110	410	1134	2733	6177	13459
aabaaa 	 18	120	436	1167	2769	6220	13520
aabaab 	 19	132	472	1226	2855	6347	13697
aababa 	 20	138	482	1235	2855	6333	13663
aababb 	 19	130	463	1211	2827	6301	13627
aabbaa 	 18	123	457	1214	2847	6342	13688
aabbab 	 19	132	478	1238	2874	6374	13731
aabbba 	 18	120	443	1191	2817	6301	13639
aabbbb 	 17	109	404	1120	2708	6139	13408
abaaaa 	 18	117	424	1144	2731	6168	13452
abaaab 	 19	129	464	1213	2838	6328	13678
abaaba 	 20	142	496	1257	2895	6401	13768
abaabb 	 19	132	478	1238	2874	6374	13731
ababaa 	 20	138	482	1235	2855	6333	13663
ababab 	 21	146	498	1257	2883	6362	13692
ababba 	 20	141	493	1252	2889	6389	13748
ababbb 	 19	128	456	1196	2804	6270	13588
abbaaa 	 18	121	445	1195	2816	6296	13628
abbaab 	 19	133	485	1250	2896	6408	13781
abbaba 	 20	141	493	1252	2889	6389	13748
abbabb 	 19	132	472	1226	2855	6347	13697
abbbaa 	 18	120	443	1191	2817	6301	13639
abbbab 	 19	129	464	1213	2838	6328	13678
abbbba 	 18	116	424	1153	2753	6210	13520
abbbbb 	 17	105	386	1078	2633	6021	13240
baaaaa 	 17	105	386	1078	2633	6021	13240
baaaab 	 18	116	424	1153	2753	6210	13520
baaaba 	 19	129	464	1213	2838	6328	13678
baaabb 	 18	120	443	1191	2817	6301	13639
baabaa 	 19	132	472	1226	2855	6347	13697
baabab 	 20	141	493	1252	2889	6389	13748
baabba 	 19	133	485	1250	2896	6408	13781
baabbb 	 18	121	445	1195	2816	6296	13628
babaaa 	 19	128	456	1196	2804	6270	13588
babaab 	 20	141	493	1252	2889	6389	13748
bababa 	 21	146	498	1257	2883	6362	13692
bababb 	 20	138	482	1235	2855	6333	13663
babbaa 	 19	132	478	1238	2874	6374	13731
babbab 	 20	142	496	1257	2895	6401	13768
babbba 	 19	129	464	1213	2838	6328	13678
babbbb 	 18	117	424	1144	2731	6168	13452
bbaaaa 	 17	109	404	1120	2708	6139	13408
bbaaab 	 18	120	443	1191	2817	6301	13639
bbaaba 	 19	132	478	1238	2874	6374	13731
bbaabb 	 18	123	457	1214	2847	6342	13688
bbabaa 	 19	130	463	1211	2827	6301	13627
bbabab 	 20	138	482	1235	2855	6333	13663
bbabba 	 19	132	472	1226	2855	6347	13697
bbabbb 	 18	120	436	1167	2769	6220	13520
bbbaaa 	 17	110	410	1134	2733	6177	13459
bbbaab 	 18	121	445	1195	2816	6296	13628
bbbaba 	 19	128	456	1196	2804	6270	13588
bbbabb 	 18	120	436	1167	2769	6220	13520
bbbbaa 	 17	109	404	1120	2708	6139	13408
bbbbab 	 18	117	424	1144	2731	6168	13452
bbbbba 	 17	105	386	1078	2633	6021	13240
bbbbbb 	 16	95	351	1003	2503	5811	12910
