aaaaaaa 	 18	120	492	1530	4068	9900	22818
aaaaaab 	 19	132	543	1661	4329	10367	23610
aaaaaba 	 20	147	603	1791	4554	10732	24186
aaaaabb 	 19	137	571	1741	4497	10661	24078
aaaabaa 	 20	151	624	1845	4653	10886	24410
aaaabab 	 21	161	656	1902	4735	11011	24601
aaaabba 	 20	152	636	1895	4760	11077	24712
aaaabbb 	 19	139	584	1781	4581	10804	24294
aaabaaa 	 20	152	631	1862	4685	10933	24474
aaabaab 	 21	166	687	1976	4870	11231	24936
aaababa 	 22	174	705	2000	4880	11218	24883
aaababb 	 21	164	673	1947	4816	11137	24780
aaabbaa 	 20	155	660	1957	4868	11254	24967
aaabbab 	 21	166	695	2013	4936	11340	25089
aaabbba 	 20	152	641	1914	4808	11167	24853
aaabbbb 	 19	139	584	1781	4581	10804	24294
aabaaaa 	 20	151	624	1845	4653	10886	24410
aabaaab 	 21	165	686	1978	4879	11254	24978
aabaaba 	 22	180	742	2072	5010	11438	25231
aabaabb 	 21	168	707	2026	4960	11376	25142
aababaa 	 22	176	716	2027	4925	11280	24963
aababab 	 23	186	747	2075	4986	11354	25048
aababba 	 22	179	734	2064	4999	11417	25191
aababbb 	 21	164	673	1947	4816	11137	24780
aabbaaa 	 20	155	660	1957	4868	11254	24967
aabbaab 	 21	169	722	2072	5043	11513	25350
aabbaba 	 22	179	744	2086	5039	11481	25280
aabbabb 	 21	168	707	2026	4960	11376	25142
aabbbaa 	 20	154	656	1951	4874	11277	25023
aabbbab 	 21	165	693	2004	4933	11348	25117
aabbbba 	 20	150	629	1880	4745	11072	24725
aabbbbb 	 19	137	571	1741	4497	10661	24078
abaaaaa 	 20	147	603	1791	4554	10732	24186
abaaaab 	 21	161	664	1930	4797	11135	24820
abaaaba 	 22	177	730	2052	4980	11406	25206
abaaabb 	 21	165	693	2004	4933	11348	25117
abaabaa 	 22	180	742	2072	5010	11438	25231
abaabab 	 23	192	779	2126	5085	11540	25365
abaabba 	 22	181	762	2122	5103	11589	25454
abaabbb 	 21	166	695	2013	4936	11340	25089
ababaaa 	 22	174	705	2000	4880	11218	24883
ababaab 	 23	190	768	2110	5061	11492	25278
abababa 	 24	196	775	2116	5047	11423	25118
abababb 	 23	186	747	2075	4986	11354	25048
ababbaa 	 22	179	744	2086	5039	11481	25280
ababbab 	 23	192	779	2126	5085	11540	25365
ababbba 	 22	176	721	2036	4957	11368	25140
ababbbb 	 21	161	656	1902	4735	11011	24601
abbaaaa 	 20	152	636	1895	4760	11077	24712
abbaaab 	 21	166	700	2032	4981	11427	25241
abbaaba 	 22	181	762	2122	5103	11589	25454
abbaabb 	 21	169	722	2072	5043	11513	25350
abbabaa 	 22	179	734	2064	4999	11417	25191
abbabab 	 23	190	768	2110	5061	11492	25278
abbabba 	 22	181	749	2089	5048	11505	25333
