aaaaaaaa 	 37	509	4249	26345	136381	632117	2722465
aaaaaaab 	 38	550	4740	29774	154064	708458	3018132
aaaaaaac 	 38	550	4740	29774	154064	708458	3018132
aaaaaaba 	 39	599	5314	33538	172196	782086	3288423
aaaaaabb 	 38	571	5050	32114	166524	762278	3221503
aaaaaabc 	 39	601	5372	34200	176568	803390	3375571
aaaaaaca 	 39	599	5314	33538	172196	782086	3288423
aaaaaacb 	 39	601	5372	34200	176568	803390	3375571
aaaaaacc 	 38	571	5050	32114	166524	762278	3221503
aaaaabaa 	 39	616	5579	35554	182476	823557	3434390
aaaaabab 	 40	644	5860	37225	190133	854372	3548254
aaaaabac 	 40	647	5937	37990	194751	875800	3634135
aaaaabba 	 39	616	5631	36303	188070	853047	3559858
aaaaabbb 	 38	583	5231	33502	173975	794324	3340410
aaaaabbc 	 39	616	5632	36334	188506	856331	3577151
aaaaabca 	 40	649	6021	38870	200118	900442	3730743
aaaaabcb 	 40	647	5964	38379	197586	890365	3694799
aaaaabcc 	 39	618	5665	36567	189496	859615	3586843
aaaaacaa 	 39	616	5579	35554	182476	823557	3434390
aaaaacab 	 40	647	5937	37990	194751	875800	3634135
aaaaacac 	 40	644	5860	37225	190133	854372	3548254
aaaaacba 	 40	649	6021	38870	200118	900442	3730743
aaaaacbb 	 39	618	5665	36567	189496	859615	3586843
aaaaacbc 	 40	647	5964	38379	197586	890365	3694799
aaaaacca 	 39	616	5631	36303	188070	853047	3559858
aaaaaccb 	 39	616	5632	36334	188506	856331	3577151
aaaaaccc 	 38	583	5231	33502	173975	794324	3340410
aaaabaaa 	 39	624	5708	36552	187552	843575	3501913
aaaabaab 	 40	658	6155	39713	203542	910786	3754592
aaaabaac 	 40	658	6158	39822	204407	915370	3774386
aaaababa 	 41	685	6385	40848	207654	923508	3789397
aaaababb 	 40	657	6085	39044	199818	894609	3691977
aaaababc 	 41	689	6482	41779	213240	949611	3895299
aaaabaca 	 41	690	6524	42159	215355	958991	3931329
aaaabacb 	 41	692	6593	42775	218725	973639	3987803
aaaabacc 	 40	660	6204	40247	207089	928781	3830153
aaaabbaa 	 39	629	5879	38387	199553	902493	3742597
aaaabbab 	 40	658	6196	40321	207931	933211	3846960
aaaabbac 	 40	660	6251	40914	211846	952426	3926252
aaaabbba 	 39	622	5747	37303	193855	879366	3661935
aaaabbbb 	 38	587	5291	33963	176456	804966	3379527
aaaabbbc 	 39	622	5747	37304	193877	879652	3664246
aaaabbca 	 40	660	6252	40964	212495	956917	3948967
aaaabbcb 	 40	658	6198	40396	208885	939719	3879223
aaaabbcc 	 39	629	5880	38434	200250	908079	3773670
aaaabcaa 	 40	662	6283	41076	212130	951535	3916895
aaaabcab 	 41	694	6670	43599	223769	996658	4076780
aaaabcac 	 41	692	6621	43175	221526	987335	4042185
aaaabcba 	 41	692	6610	43127	221716	990114	4058597
aaaabcbb 	 40	660	6216	40438	208546	936411	3861943
aaaabcbc 	 41	689	6529	42380	217416	970625	3981539
aaaabcca 	 40	660	6247	40924	212285	956094	3946024
aaaabccb 	 40	660	6246	40891	211967	954216	3937113
aaaabccc 	 39	626	5802	37703	195829	887305	3690143
aaaacaaa 	 39	624	5708	36552	187552	843575	3501913
aaaacaab 	 40	658	6158	39822	204407	915370	3774386
aaaacaac 	 40	658	6155	39713	203542	910786	3754592
aaaacaba 	 41	690	6524	42159	215355	958991	3931329
aaaacabb 	 40	660	6204	40247	207089	928781	3830153
aaaacabc 	 41	692	6593	42775	218725	973639	3987803
aaaacaca 	 41	685	6385	40848	207654	923508	3789397
aaaacacb 	 41	689	6482	41779	213240	949611	3895299
aaaacacc 	 40	657	6085	39044	199818	894609	3691977
aaaacbaa 	 40	662	6283	41076	212130	951535	3916895
aaaacbab 	 41	692	6621	43175	221526	987335	4042185
aaaacbac 	 41	694	6670	43599	223769	996658	4076780
aaaacbba 	 40	660	6247	40924	212285	956094	3946024
aaaacbbb 	 39	626	5802	37703	195829	887305	3690143
aaaacbbc 	 40	660	6246	40891	211967	954216	3937113
aaaacbca 	 41	692	6610	43127	221716	990114	4058597
aaaacbcb 	 41	689	6529	42380	217416	970625	3981539
aaaacbcc 	 40	660	6216	40438	208546	936411	3861943
aaaaccaa 	 39	629	5879	38387	199553	902493	3742597
aaaaccab 	 40	660	6251	40914	211846	952426	3926252
aaaaccac 	 40	658	6196	40321	207931	933211	3846960
aaaaccba 	 40	660	6252	40964	212495	956917	3948967
aaaaccbb 	 39	629	5880	38434	200250	908079	3773670
aaaaccbc 	 40	658	6198	40396	208885	939719	3879223
aaaaccca 	 39	622	5747	37303	193855	879366	3661935
aaaacccb 	 39	622	5747	37304	193877	879652	3664246
aaaacccc 	 38	587	5291	33963	176456	804966	3379527
aaabaaaa 	 39	624	5708	36552	187552	843575	3501913
aaabaaab 	 40	660	6207	40282	207000	926113	3811576
aaabaaac 	 40	660	6207	40283	207048	926594	3814374
aaabaaba 	 41	697	6705	43590	222231	984484	4013510
aaabaabb 	 40	667	6364	41589	214024	956250	3923045
aaabaabc 	 41	699	6766	44323	227073	1008056	4109563
aaabaaca 	 41	697	6711	43805	223927	993405	4051618
aaabaacb 	 41	699	6769	44476	228252	1014126	4135416
aaabaacc 	 40	667	6367	41718	215216	963127	3954789
aaababaa 	 41	694	6562	42340	215626	956015	3901864
aaababab 	 42	722	6870	44209	223784	986138	4002308
aaababac 	 42	727	6987	45298	230180	1015604	4120737
aaababba 	 41	696	6642	43168	220807	981134	4006434
aaababbb 	 40	661	6158	39646	203041	907948	3739062
aaababbc 	 41	696	6645	43249	221525	985392	4026776
aaababca 	 42	731	7119	46491	236718	1044464	4234226
aaababcb 	 42	729	7045	45799	232958	1028634	4175379
aaababcc 	 41	698	6701	43738	224154	996718	4069470
aaabacaa 	 41	699	6726	43874	224525	997069	4066505
aaabacab 	 42	732	7152	46822	238835	1054790	4276123
aaabacac 	 42	729	7059	45933	233809	1032604	4189695
aaabacba 	 42	734	7223	47436	241925	1066902	4318744
aaabacbb 	 41	701	6808	44702	229473	1019845	4157007
aaabacbc 	 42	732	7172	46948	239298	1056304	4281090
aaabacca 	 41	699	6769	44524	229186	1020728	4166216
aaabaccb 	 41	699	6770	44568	229595	1023213	4178515
aaabaccc 	 40	664	6291	41042	211653	948931	3905545
aaabbaaa 	 39	633	5956	39057	203306	918776	3802346
aaabbaab 	 40	667	6406	42351	220056	987910	4055311
aaabbaac 	 40	667	6407	42393	220559	991447	4073786
aaabbaba 	 41	696	6701	43852	225023	1000791	4083391
aaabbabb 	 40	667	6376	41785	215510	963966	3954925
aaabbabc 	 41	699	6778	44634	229819	1023184	4173656
aaabbaca 	 41	699	6792	44879	231705	1033101	4215743
aaabbacb 	 41	701	6846	45385	234482	1044820	4259268
aaabbacc 	 40	669	6447	42689	221899	996603	4092634
aaabbbaa 	 39	631	5933	38917	202907	919221	3813355
aaabbbab 	 40	660	6251	40844	211149	948601	3909568
aaabbbac 	 40	662	6307	41479	215417	969668	3996543
aaabbbba 	 39	620	5725	37164	193160	876519	3652247
aaabbbbb 	 38	583	5231	33502	173975	794324	3340410
aaabbbbc 	 39	620	5725	37164	193161	876535	3652443
aaabbbca 	 40	662	6307	41480	215445	970079	3999730
aaabbbcb 	 40	660	6251	40845	211179	949068	3913392
aaabbbcc 	 39	631	5933	38918	202939	919683	3817310
aaabbcaa 	 40	669	6448	42738	222506	1000672	4112909
aaabbcab 	 41	701	6847	45463	235293	1049731	4282750
aaabbcac 	 41	699	6793	44940	232454	1038112	4241005
aaabbcba 	 41	699	6780	44726	230929	1030537	4209660
aaabbcbb 	 40	667	6379	41900	216722	971518	3991268
aaabbcbc 	 41	696	6704	43961	226265	1008786	4122365
aaabbcca 	 40	667	6408	42442	221327	997636	4108326
aaabbccb 	 40	667	6407	42414	220981	995040	4094231
aaabbccc 	 39	633	5957	39109	204086	925089	3838110
aaabcaaa 	 40	666	6364	41790	216090	968407	3977643
aaabcaab 	 41	701	6844	45377	234363	1043983	4255193
aaabcaac 	 41	701	6843	45325	233945	1041722	4244951
aaabcaba 	 42	734	7243	47744	244031	1077163	4359570
aaabcabb 	 41	703	6877	45436	233852	1039567	4232972
aaabcabc 	 42	736	7292	48219	246694	1088356	4400716
aaabcaca 	 42	731	7162	47022	240234	1061441	4301090
aaabcacb 	 42	734	7243	47847	245093	1083330	4387462
aaabcacc 	 41	701	6816	44829	230399	1024466	4175355
aaabcbaa 	 41	701	6816	44980	232046	1034558	4222371
aaabcbab 	 42	732	7176	47211	241736	1069934	4340549
aaabcbac 	 42	734	7238	47852	245333	1085222	4398059
aaabcbba 	 41	699	6772	44635	230256	1027064	4195447
aaabcbbb 	 40	664	6291	41042	211653	948931	3905545
aaabcbbc 	 41	699	6770	44570	229624	1023300	4177691
aaabcbca 	 42	731	7140	46908	240221	1063826	4318183
aaabcbcb 	 42	727	7038	45935	234562	1037956	4214269
aaabcbcc 	 41	698	6715	43932	225558	1003884	4098805
aaabccaa 	 40	669	6446	42720	222416	1000345	4111816
aaabccab 	 41	701	6850	45544	235973	1053545	4300013
aaabccac 	 41	699	6794	44920	232030	1034983	4225816
aaabccba 	 41	701	6849	45496	235575	1051652	4292356
aaabccbb 	 40	669	6445	42676	221924	997204	4096496
aaabccbc 	 41	699	6792	44832	231244	1030875	4207759
