aaaaaaa 	 48	860	9412	77490	540992	3423316	20265198
aaaaaab 	 49	930	10595	88975	623619	3923909	22997760
aaaaaac 	 49	930	10595	88975	623619	3923909	22997760
aaaaaad 	 49	930	10595	88975	623619	3923909	22997760
aaaaaba 	 50	1007	11879	100963	706050	4402618	25510218
aaaaabb 	 49	967	11327	96463	678447	4254235	24756288
aaaaabc 	 50	1009	11985	102760	723657	4528492	26258780
aaaaabd 	 50	1009	11985	102760	723657	4528492	26258780
aaaaaca 	 50	1007	11879	100963	706050	4402618	25510218
aaaaacb 	 50	1009	11985	102760	723657	4528492	26258780
aaaaacc 	 49	967	11327	96463	678447	4254235	24756288
aaaaacd 	 50	1009	11985	102760	723657	4528492	26258780
aaaaada 	 50	1007	11879	100963	706050	4402618	25510218
aaaaadb 	 50	1009	11985	102760	723657	4528492	26258780
aaaaadc 	 50	1009	11985	102760	723657	4528492	26258780
aaaaadd 	 49	967	11327	96463	678447	4254235	24756288
aaaabaa 	 50	1035	12484	107299	751085	4659926	26805246
aaaabab 	 51	1075	13080	112670	788241	4880525	27986811
aaaabac 	 51	1078	13225	114799	807402	5012624	28762815
aaaabad 	 51	1078	13225	114799	807402	5012624	28762815
aaaabba 	 50	1034	12574	109313	773270	4829123	27845748
aaaabbb 	 49	985	11688	100189	705831	4418402	25616598
aaaabbc 	 50	1034	12575	109365	774435	4843180	27959901
aaaabbd 	 50	1034	12575	109365	774435	4843180	27959901
aaaabca 	 51	1080	13358	116940	827214	5149028	29554708
aaaabcb 	 51	1078	13274	115775	817633	5089024	29226504
aaaabcc 	 50	1037	12632	109905	778108	4863688	28057762
aaaabcd 	 51	1080	13361	117117	830233	5177990	29758147
aaaabda 	 51	1080	13358	116940	827214	5149028	29554708
aaaabdb 	 51	1078	13274	115775	817633	5089024	29226504
aaaabdc 	 51	1080	13361	117117	830233	5177990	29758147
aaaabdd 	 50	1037	12632	109905	778108	4863688	28057762
aaaacaa 	 50	1035	12484	107299	751085	4659926	26805246
aaaacab 	 51	1078	13225	114799	807402	5012624	28762815
aaaacac 	 51	1075	13080	112670	788241	4880525	27986811
aaaacad 	 51	1078	13225	114799	807402	5012624	28762815
aaaacba 	 51	1080	13358	116940	827214	5149028	29554708
aaaacbb 	 50	1037	12632	109905	778108	4863688	28057762
aaaacbc 	 51	1078	13274	115775	817633	5089024	29226504
aaaacbd 	 51	1080	13361	117117	830233	5177990	29758147
aaaacca 	 50	1034	12574	109313	773270	4829123	27845748
aaaaccb 	 50	1034	12575	109365	774435	4843180	27959901
aaaaccc 	 49	985	11688	100189	705831	4418402	25616598
aaaaccd 	 50	1034	12575	109365	774435	4843180	27959901
aaaacda 	 51	1080	13358	116940	827214	5149028	29554708
aaaacdb 	 51	1080	13361	117117	830233	5177990	29758147
aaaacdc 	 51	1078	13274	115775	817633	5089024	29226504
aaaacdd 	 50	1037	12632	109905	778108	4863688	28057762
aaaadaa 	 50	1035	12484	107299	751085	4659926	26805246
aaaadab 	 51	1078	13225	114799	807402	5012624	28762815
aaaadac 	 51	1078	13225	114799	807402	5012624	28762815
aaaadad 	 51	1075	13080	112670	788241	4880525	27986811
aaaadba 	 51	1080	13358	116940	827214	5149028	29554708
aaaadbb 	 50	1037	12632	109905	778108	4863688	28057762
aaaadbc 	 51	1080	13361	117117	830233	5177990	29758147
aaaadbd 	 51	1078	13274	115775	817633	5089024	29226504
aaaadca 	 51	1080	13358	116940	827214	5149028	29554708
aaaadcb 	 51	1080	13361	117117	830233	5177990	29758147
aaaadcc 	 50	1037	12632	109905	778108	4863688	28057762
aaaadcd 	 51	1078	13274	115775	817633	5089024	29226504
aaaadda 	 50	1034	12574	109313	773270	4829123	27845748
aaaaddb 	 50	1034	12575	109365	774435	4843180	27959901
aaaaddc 	 50	1034	12575	109365	774435	4843180	27959901
aaaaddd 	 49	985	11688	100189	705831	4418402	25616598
aaabaaa 	 50	1044	12683	109402	766001	4743661	27213918
aaabaab 	 51	1094	13659	119730	843190	5216213	29774030
aaabaac 	 51	1094	13662	119915	845893	5239688	29931219
aaabaad 	 51	1094	13662	119915	845893	5239688	29931219
aaababa 	 52	1134	14177	123648	865692	5327578	30267717
aaababb 	 51	1094	13541	117851	826978	5109481	29161104
aaababc 	 52	1138	14351	126220	888984	5489136	31224484
aaababd 	 52	1138	14351	126220	888984	5489136	31224484
aaabaca 	 52	1139	14431	127212	897076	5543316	31536361
aaabacb 	 52	1141	14531	128714	910256	5630717	32035281
aaabacc 	 51	1097	13752	120990	855671	5312029	30369642
aaabacd 	 52	1141	14535	128932	913512	5659869	32233429
aaabada 	 52	1139	14431	127212	897076	5543316	31536361
aaabadb 	 52	1141	14531	128714	910256	5630717	32035281
aaabadc 	 52	1141	14535	128932	913512	5659869	32233429
aaabadd 	 51	1097	13752	120990	855671	5312029	30369642
aaabbaa 	 50	1053	13066	115015	817372	5100214	29288979
aaabbab 	 51	1094	13725	121031	856860	5319188	30401759
aaabbac 	 51	1096	13811	122533	872416	5435105	31110647
aaabbad 	 51	1096	13811	122533	872416	5435105	31110647
aaabbba 	 50	1040	12741	111298	789142	4931341	28415889
aaabbbb 	 49	985	11688	100189	705831	4418402	25616598
aaabbbc 	 50	1040	12741	111299	789175	4932048	28425661
