aaaaaaaaa 	 22	179	883	3221	9739	26213	65491
aaaaaaaab 	 23	195	975	3537	10545	27957	68943
aaaaaaaba 	 24	216	1094	3901	11371	29581	71925
aaaaaaabb 	 23	202	1029	3747	11117	29210	71349
aaaaaabaa 	 24	222	1139	4066	11781	30381	73330
aaaaaabab 	 25	236	1204	4231	12096	30957	74355
aaaaaabba 	 24	223	1157	4178	12126	31185	74882
aaaaaabbb 	 23	206	1062	3882	11495	30032	72873
aaaaabaaa 	 24	225	1164	4162	12018	30824	74064
aaaaabaab 	 25	243	1269	4469	12671	32075	76344
aaaaababa 	 26	255	1312	4558	12779	32174	76381
aaaaababb 	 25	241	1245	4391	12496	31751	75749
aaaaabbaa 	 24	228	1209	4389	12662	32256	76749
aaaaabbab 	 25	243	1281	4573	12981	32744	77521
aaaaabbba 	 24	225	1180	4285	12456	31917	76238
aaaaabbbb 	 23	208	1078	3948	11683	30438	73609
aaaabaaaa 	 24	226	1172	4194	12095	30966	74290
aaaabaaab 	 25	244	1285	4556	12891	32499	77062
aaaabaaba 	 26	263	1398	4849	13429	33394	78538
aaaabaabb 	 25	247	1320	4675	13175	33068	78062
aaaababaa 	 26	259	1350	4708	13130	32812	77415
aaaababab 	 27	273	1418	4873	13398	33197	77977
aaaababba 	 26	262	1380	4815	13398	33387	78548
aaaababbb 	 25	243	1264	4470	12696	32142	76420
aaaabbaaa 	 24	230	1230	4485	12919	32771	77632
aaaabbaab 	 25	248	1343	4826	13604	33939	79594
aaaabbaba 	 26	262	1400	4928	13691	33958	79488
aaaabbabb 	 25	247	1324	4725	13333	33403	78641
aaaabbbaa 	 24	229	1224	4470	12941	32899	78006
aaaabbbab 	 25	244	1300	4662	13255	33340	78628
aaaabbbba 	 24	225	1183	4304	12520	32074	76557
aaaabbbbb 	 23	208	1078	3948	11683	30438	73609
aaabaaaaa 	 24	225	1164	4162	12018	30824	74064
aaabaaaab 	 25	243	1279	4539	12868	32479	77058
aaabaaaba 	 26	263	1410	4926	13619	33778	79220
aaabaaabb 	 25	247	1327	4737	13346	33431	78735
aaabaabaa 	 26	266	1434	4976	13717	33935	79414
aaabaabab 	 27	282	1517	5173	14046	34449	80233
aaabaabba 	 26	267	1460	5109	14061	34629	80676
aaabaabbb 	 25	248	1335	4757	13392	33508	78805
aaababaaa 	 26	260	1362	4758	13246	33020	77743
aaababaab 	 27	280	1487	5117	13947	34244	79810
aaabababa 	 28	290	1517	5152	13922	34016	79159
