aaaaaaaa 	 20	148	668	2254	6392	16348	39194
aaaaaaab 	 21	162	738	2464	6868	17286	40916
aaaaaaba 	 22	180	825	2691	7320	18094	42291
aaaaaabb 	 21	168	778	2599	7193	17926	42036
aaaaabaa 	 22	185	857	2791	7536	18468	42892
aaaaabab 	 23	197	904	2892	7704	18750	43357
aaaaabba 	 22	186	872	2869	7739	18884	43616
aaaaabbb 	 21	171	800	2678	7388	18302	42666
aaaabaaa 	 22	187	872	2840	7639	18640	43150
aaaabaab 	 23	203	951	3035	8002	19276	44224
aaaababa 	 24	213	980	3084	8044	19289	44177
aaaababb 	 23	201	932	2985	7902	19098	43910
aaaabbaa 	 22	190	909	2994	8006	19359	44373
aaaabbab 	 23	203	961	3102	8163	19573	44694
aaaabbba 	 22	187	885	2924	7891	19183	44125
aaaabbbb 	 21	172	807	2704	7453	18425	42869
aaabaaaa 	 22	187	872	2840	7639	18640	43150
aaabaaab 	 23	203	958	3070	8080	19420	44457
aaabaaba 	 24	220	1041	3246	8358	19843	45100
aaabaabb 	 23	206	986	3149	8241	19700	44892
aaababaa 	 24	216	1004	3161	8194	19529	44525
aaababab 	 25	228	1052	3256	8326	19703	44756
aaababba 	 24	219	1028	3228	8342	19822	45060
aaababbb 	 23	202	941	3016	7968	19212	44087
aaabbaaa 	 22	191	919	3034	8090	19513	44612
aaabbaab 	 23	207	1005	3245	8452	20080	45509
aaabbaba 	 24	219	1043	3291	8470	20049	45400
aaabbabb 	 23	206	988	3172	8295	19799	45045
aaabbbaa 	 22	190	914	3024	8107	19574	44775
aaabbbab 	 23	203	969	3134	8250	19759	45020
aaabbbba 	 22	186	880	2910	7862	19147	44089
aaabbbbb 	 21	171	800	2678	7388	18302	42666
aabaaaaa 	 22	185	857	2791	7536	18468	42892
aabaaaab 	 23	201	944	3030	8007	19313	44316
aabaaaba 	 24	219	1042	3260	8395	19929	45266
aabaaabb 	 23	205	983	3159	8274	19786	45061
aabaabaa 	 24	222	1059	3294	8451	20005	45341
