aaaaaaa 	 33	405	3037	17145	82153	357309	1456693
aaaaaab 	 34	440	3398	19344	92242	396836	1597533
aaaaaac 	 34	440	3398	19344	92242	396836	1597533
aaaaaba 	 35	481	3806	21648	102034	432763	1718445
aaaaabb 	 34	457	3614	20760	98914	422787	1686893
aaaaabc 	 35	483	3854	22110	104674	444175	1760709
aaaaaca 	 35	481	3806	21648	102034	432763	1718445
aaaaacb 	 35	483	3854	22110	104674	444175	1760709
aaaaacc 	 34	457	3614	20760	98914	422787	1686893
aaaabaa 	 35	494	3981	22794	107129	451062	1776713
aaaabab 	 36	518	4186	23847	111412	466650	1829157
aaaabac 	 36	521	4249	24368	114136	477987	1870765
aaaabba 	 35	494	4023	23303	110407	466308	1835099
aaaabbb 	 34	465	3719	21462	102244	435646	1730213
aaaabbc 	 35	494	4024	23328	110699	468217	1844027
aaaabca 	 36	523	4317	24950	117165	490359	1914909
aaaabcb 	 36	521	4270	24617	115691	485057	1897307
aaaabcc 	 35	496	4051	23483	111245	469773	1848005
aaaacaa 	 35	494	3981	22794	107129	451062	1776713
aaaacab 	 36	521	4249	24368	114136	477987	1870765
aaaacac 	 36	518	4186	23847	111412	466650	1829157
aaaacba 	 36	523	4317	24950	117165	490359	1914909
aaaacbb 	 35	496	4051	23483	111245	469773	1848005
aaaacbc 	 36	521	4270	24617	115691	485057	1897307
aaaacca 	 35	494	4023	23303	110407	466308	1835099
aaaaccb 	 35	494	4024	23328	110699	468217	1844027
aaaaccc 	 34	465	3719	21462	102244	435646	1730213
aaabaaa 	 35	498	4038	23173	108808	456947	1794669
aaabaab 	 36	528	4377	25230	117951	491524	1912980
aaabaac 	 36	528	4380	25301	118433	493855	1922376
aaababa 	 37	551	4539	25899	120016	496893	1924357
aaababb 	 36	527	4321	24783	115745	482605	1880437
aaababc 	 37	555	4618	26526	123254	510469	1974845
aaabaca 	 37	556	4650	26752	124349	514960	1991001
aaabacb 	 37	558	4707	27166	126285	522489	2017535
aaabacc 	 36	530	4416	25574	119892	500194	1945551
aaabbaa 	 35	503	4175	24394	115613	486311	1902187
aaabbab 	 36	528	4406	25576	120048	500948	1947796
aaabbac 	 36	530	4453	26005	122466	511431	1986876
aaabbba 	 35	496	4067	23654	112269	474230	1864033
aaabbbb 	 34	465	3719	21462	102244	435646	1730213
aaabbbc 	 35	496	4067	23655	112285	474408	1865307
aaabbca 	 36	530	4454	26045	122864	513776	1997519
aaabbcb 	 36	528	4408	25635	120630	504325	1962715
aaabbcc 	 35	503	4176	24431	116062	489350	1916996
aaabcaa 	 36	532	4479	26103	122587	510947	1982801
aaabcab 	 37	560	4768	27692	128975	533309	2055480
aaabcac 	 37	558	4727	27396	127627	528285	2038323
aaabcba 	 37	558	4718	27376	127793	529813	2045869
aaabcbb 	 36	530	4422	25657	120424	502649	1954747
aaabcbc 	 37	555	4651	26863	125256	519469	2008273
aaabcca 	 36	530	4451	26027	122784	513503	1996562
aaabccb 	 36	530	4450	26000	122574	512392	1991679
aaabccc 	 35	500	4112	23926	113401	478202	1876484
aaacaaa 	 35	498	4038	23173	108808	456947	1794669
aaacaab 	 36	528	4380	25301	118433	493855	1922376
aaacaac 	 36	528	4377	25230	117951	491524	1912980
aaacaba 	 37	556	4650	26752	124349	514960	1991001
aaacabb 	 36	530	4416	25574	119892	500194	1945551
aaacabc 	 37	558	4707	27166	126285	522489	2017535
aaacaca 	 37	551	4539	25899	120016	496893	1924357
aaacacb 	 37	555	4618	26526	123254	510469	1974845
aaacacc 	 36	527	4321	24783	115745	482605	1880437
aaacbaa 	 36	532	4479	26103	122587	510947	1982801
aaacbab 	 37	558	4727	27396	127627	528285	2038323
aaacbac 	 37	560	4768	27692	128975	533309	2055480
aaacbba 	 36	530	4451	26027	122784	513503	1996562
aaacbbb 	 35	500	4112	23926	113401	478202	1876484
aaacbbc 	 36	530	4450	26000	122574	512392	1991679
aaacbca 	 37	558	4718	27376	127793	529813	2045869
aaacbcb 	 37	555	4651	26863	125256	519469	2008273
aaacbcc 	 36	530	4422	25657	120424	502649	1954747
aaaccaa 	 35	503	4175	24394	115613	486311	1902187
aaaccab 	 36	530	4453	26005	122466	511431	1986876
aaaccac 	 36	528	4406	25576	120048	500948	1947796
aaaccba 	 36	530	4454	26045	122864	513776	1997519
aaaccbb 	 35	503	4176	24431	116062	489350	1916996
aaaccbc 	 36	528	4408	25635	120630	504325	1962715
aaaccca 	 35	496	4067	23654	112269	474230	1864033
aaacccb 	 35	496	4067	23655	112285	474408	1865307
aaacccc 	 34	465	3719	21462	102244	435646	1730213
aabaaaa 	 35	494	3981	22794	107129	451062	1776713
aabaaab 	 36	526	4360	25201	118074	492741	1919298
aabaaac 	 36	526	4360	25202	118099	492969	1920602
aabaaba 	 37	559	4732	27267	126355	521297	2009013
aabaabb 	 36	533	4485	26065	122070	507802	1968580
aabaabc 	 37	561	4785	27781	129207	533481	2053757
aabaaca 	 37	559	4738	27402	127232	525381	2025207
aabaacb 	 37	561	4788	27878	129814	536279	2064940
aabaacc 	 36	533	4488	26147	122713	511187	1983086
aababaa 	 37	556	4621	26481	122698	506526	1954197
aababab 	 38	580	4843	27617	127085	521262	1998733
aababac 	 38	585	4938	28338	130694	536184	2053957
aababba 	 37	558	4687	27032	125647	519309	2002691
aababbb 	 36	527	4321	24783	115745	482605	1880437
aababbc 	 37	558	4690	27094	126091	521614	2012707
aababca 	 38	589	5044	29096	134221	550241	2104808
aababcb 	 38	587	4982	28633	132113	542315	2077689
