aaaaa 	 36	485	4093	27186	160259	881607	4608994
aaaab 	 37	531	4631	30988	181391	985107	5078434
aaaac 	 37	531	4631	30988	181391	985107	5078434
aaaad 	 37	531	4631	30988	181391	985107	5078434
aaaba 	 38	578	5156	34461	199616	1070157	5446579
aaabb 	 37	550	4889	32877	191957	1035885	5299546
aaabc 	 38	580	5220	35187	204736	1098200	5580678
aaabd 	 38	580	5220	35187	204736	1098200	5580678
aaaca 	 38	578	5156	34461	199616	1070157	5446579
aaacb 	 38	580	5220	35187	204736	1098200	5580678
aaacc 	 37	550	4889	32877	191957	1035885	5299546
aaacd 	 38	580	5220	35187	204736	1098200	5580678
aaada 	 38	578	5156	34461	199616	1070157	5446579
aaadb 	 38	580	5220	35187	204736	1098200	5580678
aaadc 	 38	580	5220	35187	204736	1098200	5580678
aaadd 	 37	550	4889	32877	191957	1035885	5299546
aabaa 	 38	588	5304	35536	205286	1095699	5551501
aabab 	 39	616	5591	37402	215150	1141752	5748583
aabac 	 39	619	5676	38211	220502	1170729	5888440
aabad 	 39	619	5676	38211	220502	1170729	5888440
aabba 	 38	587	5352	36239	210683	1126425	5701774
aabbb 	 37	550	4889	32877	191957	1035885	5299546
aabbc 	 38	587	5353	36266	211088	1129923	5723257
aabbd 	 38	587	5353	36266	211088	1129923	5723257
aabca 	 39	621	5749	38930	225167	1195357	6004601
aabcb 	 39	619	5695	38430	222161	1180221	5934436
aabcc 	 38	590	5386	36454	212028	1133779	5736209
aabcd 	 39	621	5752	39021	226123	1201767	6038522
aabda 	 39	621	5749	38930	225167	1195357	6004601
aabdb 	 39	619	5695	38430	222161	1180221	5934436
aabdc 	 39	621	5752	39021	226123	1201767	6038522
aabdd 	 38	590	5386	36454	212028	1133779	5736209
aacaa 	 38	588	5304	35536	205286	1095699	5551501
aacab 	 39	619	5676	38211	220502	1170729	5888440
aacac 	 39	616	5591	37402	215150	1141752	5748583
aacad 	 39	619	5676	38211	220502	1170729	5888440
aacba 	 39	621	5749	38930	225167	1195357	6004601
aacbb 	 38	590	5386	36454	212028	1133779	5736209
aacbc 	 39	619	5695	38430	222161	1180221	5934436
aacbd 	 39	621	5752	39021	226123	1201767	6038522
aacca 	 38	587	5352	36239	210683	1126425	5701774
aaccb 	 38	587	5353	36266	211088	1129923	5723257
aaccc 	 37	550	4889	32877	191957	1035885	5299546
aaccd 	 38	587	5353	36266	211088	1129923	5723257
aacda 	 39	621	5749	38930	225167	1195357	6004601
aacdb 	 39	621	5752	39021	226123	1201767	6038522
aacdc 	 39	619	5695	38430	222161	1180221	5934436
aacdd 	 38	590	5386	36454	212028	1133779	5736209
aadaa 	 38	588	5304	35536	205286	1095699	5551501
aadab 	 39	619	5676	38211	220502	1170729	5888440
aadac 	 39	619	5676	38211	220502	1170729	5888440
aadad 	 39	616	5591	37402	215150	1141752	5748583
aadba 	 39	621	5749	38930	225167	1195357	6004601
aadbb 	 38	590	5386	36454	212028	1133779	5736209
aadbc 	 39	621	5752	39021	226123	1201767	6038522
aadbd 	 39	619	5695	38430	222161	1180221	5934436
aadca 	 39	621	5749	38930	225167	1195357	6004601
aadcb 	 39	621	5752	39021	226123	1201767	6038522
aadcc 	 38	590	5386	36454	212028	1133779	5736209
aadcd 	 39	619	5695	38430	222161	1180221	5934436
aadda 	 38	587	5352	36239	210683	1126425	5701774
aaddb 	 38	587	5353	36266	211088	1129923	5723257
aaddc 	 38	587	5353	36266	211088	1129923	5723257
aaddd 	 37	550	4889	32877	191957	1035885	5299546
abaaa 	 38	578	5156	34461	199616	1070157	5446579
